ID WHO city,iso3,country,city,pm10,Year,type_of_stations,pm10_type,pm25,pm25_type,reference,latitude,longitude,population,wbinc16_text,region,date_compiled,population_source,tempcov_PM10,tempcov_PM25,latitude_pop,longitude_pop,Region2,region_abbr,tempcov_PM10_grad,tempcov_PM25_grad,conc_pm25,color_pm25,conc_pm10,color_pm10
NA,ESP,Spain,Collado Villalba,28.11295009,2014,1 Urban-Traffic,Measured,13.39634002,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.63389,-4.01333,62587,High income,Eur_HI,2018,1 old database,0.903538813,0.966894977,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Collado Villalba,25.69392769,2015,1 Urban-Traffic,Converted,13.19415906,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.63389,-4.01333,62587,High income,Eur_HI,2018,1 old database,NA,0.988926941,NA,NA,Europe (HIC),Eur (HIC),NA,>75%,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Collado Villalba,23.18649269,2016,1 Urban-Traffic,Converted,11.90655926,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.63389,-4.01333,62587,High income,Eur_HI,2018,1 old database,NA,0.989298725,NA,NA,Europe (HIC),Eur (HIC),NA,>75%,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Colmenar Viejo,18.40515463,2013,1 Urban-Traffic,Measured,9.451281278,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.66639,-3.77222,47445,High income,Eur_HI,2018,1 old database,0.996575343,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Colmenar Viejo,15.18557536,2014,1 Urban-Traffic,Measured,7.797986324,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.66639,-3.77222,47445,High income,Eur_HI,2018,1 old database,0.986073059,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Colmenar Viejo,15.33021591,2015,1 Urban-Traffic,Measured,7.872261089,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.66639,-3.77222,47445,High income,Eur_HI,2018,1 old database,0.98869863,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Colmenar Viejo,15.79219288,2016,1 Urban-Traffic,Measured,8.109492146,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.66639,-3.77222,47445,High income,Eur_HI,2018,1 old database,0.991575592,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Congosto,20.94263638,2013,1 Suburban-Industrial,Measured,10.75431047,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.62555555,-6.52083333,1615,High income,Eur_HI,2018,1 old database,0.975114155,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Congosto,17.85384346,2014,1 Suburban-Industrial,Measured,9.168175972,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.62555555,-6.52083333,1615,High income,Eur_HI,2018,1 old database,0.978652968,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Congosto,12.91879751,2015,1 Suburban-Industrial,Measured,6.633967033,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.62555555,-6.52083333,1615,High income,Eur_HI,2018,1 old database,0.99109589,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Congosto,11.71040515,2016,1 Suburban-Industrial,Measured,6.013442168,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.62555555,-6.52083333,1615,High income,Eur_HI,2018,1 old database,0.989071038,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Coslada,19.41181891,2013,1 Urban-Traffic,Measured,9.968216205,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],40.43,-3.54583,94341,High income,Eur_HI,2018,1 old database,0.990981735,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
